Well,Content,Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30),Raw Data (483-14/530-30)
A10,Sample X10,19850319,23660864,24390213,24936579,25309738,25507662,25705033,25769040,25859978,25891152,25907937,25950916,25954421,25999429,25951654,25959586,25976372,26025253,26009574,25993157,26003856,26004963,25976187,25989837,25956266,25971022,25957372,25911073,25950363,25936528,25938742,25910151,25890598,25931917,25855551,25871046,25867725,25859978,25846882,25876026,25838397,25814601,25832309,25797262,25827145,25775127,25800767,25732886,25773652,25778263,25729935,25731595,25751701,25767933,25734362,25748934,25700053,25701159,25703742,25711489,25692121,25710013,25697839,25662976,25645822,25615571,25643424,25615940,25581446,25595834,25465606,25486081,25533118,25529982,25499177,25536807,25541234,25505633,25493644,25512643,25512643,25492352,25413589,25495857,25281147,25494935,25470771,25473906,25442733,25448451
B01,Sample X11,3654307,3642871,3697840,3732149,3812942,3828990,3887463,3917899,3906647,3924355,3919743,3944276,3923063,3943723,3932655,3902589,3881560,3876395,3867541,3863852,3844853,3828436,3845406,3807777,3791729,3772914,3782691,3779001,3807961,3775497,3762031,3750595,3761478,3743216,3753362,3743585,3738236,3759264,3734916,3739158,3751148,3749488,3736391,3769594,3748750,3785273,3795972,3742663,3716470,3679394,3688801,3686957,3704296,3700053,3671831,3644531,3645269,3652278,3675520,3682161,3679209,3681238,3693966,3672200,3681054,3681238,3667035,3682530,3674598,3679947,3677180,3702082,3693597,3646929,3639735,3643978,3646745,3655967,3662977,3699684,3645269,3668142,3655967,3650618,3636415,3641026,3663530,3673307,3643609,3669617
B02,Sample X12,37617734,37556678,37515912,37529931,37444343,37416858,37438993,37405606,37452274,37433460,37435673,37490273,37444343,37497098,37457439,37439362,37462420,37446187,37457992,37435857,37498758,37380889,37388083,37381996,37354880,37382180,37358938,37330901,37345842,37348609,37332192,37354511,37288291,37288291,37313561,37283126,37287368,37290689,37327027,37248263,37231662,37287737,37268369,37265602,37259146,37234429,37224652,37216352,37243467,37265418,37217827,37239040,37219488,37235167,37225390,37279437,37257855,37327027,37247894,37307105,37191450,37154743,37158432,37141277,37173926,37183518,37143306,37161014,37126705,37145889,37108075,37045912,37067125,37071183,37084833,37063620,37066018,36986517,37066018,37014923,37017690,36988177,36974711,36954052,36967333,36949994,36995371,36937635,36907568,36896685
B03,Sample X13,12479172,16490961,22220427,25440888,26337726,26845540,27150634,27381577,27571200,27723932,27798637,27845121,27886255,27893449,27911710,27967048,27932739,27910419,27948971,27947680,27928865,27920011,27919642,27939564,27928312,27932923,27918720,27947495,27967232,27926836,27956534,27913370,27912448,27946204,27943437,27959670,27962805,27926836,27935690,27927574,27924254,27962436,27931632,27905070,27915215,27918535,27898245,27863751,27879430,27931816,27892711,27847150,27867256,27880168,27849179,27856742,27895662,27844199,27866702,27869285,27855451,27826859,27868547,27835529,27833500,27853237,27835529,27847334,27827597,27813210,27832393,27795317,27816714,27805647,27823539,27793288,27828151,27839956,27784987,27758425,27731494,27796424,27775027,27744775,27772075,27737950,27749571,27785356,27746620,27720611
B04,Sample X14,17642351,19761595,27194167,30754401,32145218,32813142,33116946,33266910,33319297,33398798,33429787,33522939,33478484,33501910,33525890,33541200,33512240,33496746,33543598,33523308,33578092,33540831,33557801,33549685,33542491,33550239,33591742,33574034,33600596,33617013,33610003,33586392,33626051,33583441,33601334,33618857,33623469,33647264,33635090,33666632,33658516,33712562,33688214,33681389,33727872,33733590,33711271,33723261,33718280,33735988,33701679,33734697,33693010,33805898,33776016,33789112,33862527,33927087,33949038,33898681,33845003,33779336,33789112,33741338,33803131,33782472,33818995,33794462,33760337,33821024,33778967,33752221,33814568,33774540,33736911,33769006,33698728,33802393,33764579,33737648,33736542,33707951,33742444,33746687,33727319,33748532,33792802,33764764,33709980,33731008
B05,Sample X15,15625112,20998389,24207783,25320990,25626823,25867541,26090736,26147918,26134084,26183518,26210449,26205838,26226682,26211187,26225391,26175218,26154005,26114162,26093872,26067310,26061222,26061222,25970284,26011419,25961984,25934315,25902773,25919558,25923247,25881744,25832863,25834338,25843930,25834707,25838212,25788224,25797631,25773652,25754652,25700237,25707984,25705217,25691199,25667403,25630143,25609115,25620920,25573883,25567796,25555806,25552301,25535147,25539020,25533118,25480547,25522050,25502313,25498071,25497333,25480916,25451956,25429821,25437753,25468188,25420598,25358067,25325233,25217694,25211422,25201277,25165861,25159220,25152949,25125464,25102776,25047438,25097796,25049098,25053894,25049283,25009071,25010731,24992654,24984722,24974762,24910017,24975131,24927909,24928278,24872756
B06,Sample X16,16279571,21330784,24152077,25352164,25906277,26196062,26352667,26407451,26531592,26528271,26585269,26605191,26543213,26585822,26597074,26578075,26546533,26525873,26536757,26551698,26550406,26497282,26477914,26438625,26424237,26383471,26442683,26407451,26408189,26405238,26392325,26387898,26341599,26291058,26356172,26314300,26239778,26308028,26234429,26260991,26238487,26239778,26146258,26199935,26213770,26158248,26162490,26139433,26160277,26058640,25991682,26116007,26085202,26107337,26058640,26069523,26106415,26017875,26023408,26036874,26004225,26009574,26008467,25949072,25933208,25985594,25945198,25971391,25926014,25933208,25678471,25896870,25762584,25866619,25855920,25842270,25860163,25844484,25855367,25823640,25847619,25752992,25808330,25770885,25777894,25755759,25778632,25747090,25736022,25770516
B07,Sample X17,7790974,11761997,16410537,16042911,15760505,16710282,19027819,20700858,22151624,23304305,23880923,24171998,24333584,24428396,24540915,24526527,24597728,24562681,24547740,24566002,24519518,24511033,24489082,24428027,24458831,24456433,24427104,24394086,24381728,24422308,24341331,24292819,24271790,24319565,24297983,24256111,24262383,24250209,24223278,24276955,24217744,24186386,24169416,24226598,24206307,24133077,24164066,24110389,24137320,24100244,24064459,24093788,24071099,24057634,24055051,24002481,23970754,23959133,23857496,23989753,23931280,23912465,23904902,23910067,23894941,23838866,23811013,23759364,23687979,23747559,23704211,23697017,23622865,23673776,23441542,23634855,23569003,23615671,23547975,23560334,23531927,23520122,23497249,23493006,23474376,23491531,23500385,23453901,23441542,23295636
B08,Sample X18,16605509,20237867,22318559,23462755,24517120,25119931,25333165,25479071,25669433,25743585,25833601,25775127,25858503,25885065,25970284,25861454,25841901,25988361,25983381,25976740,26001458,25967886,25990944,25988177,25947965,25968071,26056795,26059378,26038165,26065834,25924908,26037243,26049233,26055320,26034845,26078930,26053475,26037427,25959586,26090736,26059009,26009759,26022671,26044621,25906462,25927490,26001642,26040563,25923063,25948518,25979692,26053660,25992604,25977294,25950916,25936713,25845406,25949072,25980799,25986701,26003856,26001458,25920849,25957372,25963644,25957372,25929519,25970100,25952392,25936713,25918452,25927306,25951470,25951285,25956266,25947043,25959032,25894103,25905908,25913102,25929704,25889492,25878977,25880822,25885987,25883404,25807776,25875104,25810728,25801320
B09,Sample X19,7393097,11456350,13690327,17158147,20400190,22085403,22916758,23462571,23745161,24036237,23855283,24230472,24330633,24449608,24430056,24520809,24505684,24501441,24520994,24499412,24487976,24448317,24294663,24426735,24423784,24411979,24418804,24379514,24383019,24410503,24386892,24359224,24258325,24265888,24307391,24340224,24299275,24310711,24290421,24274742,24255558,24289498,24278246,24289129,24276586,24234161,24246704,24224016,24206492,24151154,24213132,24178454,24148019,24150417,23762685,24131971,24111680,24113525,24114632,24099137,24085672,24083643,24057081,24079953,24101351,23944007,24101166,24037528,24037159,24031810,24027567,23982006,24028305,23998976,23984773,24027567,24010228,23997132,23983113,24011888,24037897,24047304,24043800,24035314,24027567,24079584,24055051,24085487,24108176,24012995
B10,Sample X20,8037964,18522402,21231176,22734882,23171126,24533537,25614648,25982828,26207129,26302679,26413723,26413723,26481419,26508165,26568483,26555571,26588220,26629908,26526796,26561289,26628063,26609618,26535281,26507612,26542475,26499865,26567561,26503370,26491011,26517942,26495253,26467769,26491380,26484924,26484555,26424237,26425528,26401548,26406898,26391772,26350084,26361521,26351007,26320387,26313931,26357094,26335881,26314484,26346026,26314853,26306183,26321678,26284602,26288475,26292165,26265787,26255826,26010127,26197353,26253244,26182043,26212110,26194217,26134452,26214692,26162121,26205653,26157141,26171713,26160830,26123569,26142200,26119880,26133899,26101250,25892443,26081144,26067494,26047388,25989468,25960877,26044990,25996662,26017875,26031894,25996109,25979138,25922694,25949256,25941509
C01,Sample X21,4764932,4783562,4764563,4725089,4736710,4728594,4756263,4707934,4719740,4721584,4712361,4737448,4707381,4691149,4718449,4681372,4715128,4720478,4650383,4671227,4671043,4652044,4664033,4651306,4611278,4608880,4621608,4610725,4618841,4632122,4622530,4608511,4614598,4596337,4595599,4611278,4578629,4593017,4596522,4588774,4631200,4577707,4579367,4615521,4584347,4572726,4592648,4567562,4564979,4578629,4573464,4583425,4568115,4604269,4579920,4572357,4563135,4583056,4577338,4580843,4617550,4594124,4585823,4588590,4580474,4598735,4608696,4598182,4571251,4579367,4598182,4570328,4587852,4576784,4572173,4565348,4581580,4561474,4578629,4580658,4577153,4593939,4596706,4599288,4616259,4590434,4595046,4580843,4588221,4573280
C02,Sample X22,37214138,37212294,37179829,37184256,37193848,37179645,37242729,37183887,37188314,37192372,37223730,37208605,37211556,37238671,37203624,37193663,37193479,37207313,37177984,37127443,37152160,37085940,37029311,37097745,37043883,37059378,37030971,36950363,37069154,36960692,36706877,36707246,36810174,36755574,36794311,36777156,36790990,36795233,36647666,36781030,36719605,36692859,36726799,36615570,36683451,36606163,36577941,36594542,36582737,36599523,36509691,36552670,36390347,36548059,36380201,36493643,36428161,36476673,36355668,36402152,36367474,36324495,36279856,36340543,36222858,36295535,36255876,36309000,36177481,36243333,36200354,36158667,36154609,36243886,36092262,36056661,36010362,35984169,35983062,36019216,35978266,35945801,35954102,35958714,35940268,35955578,35960927,35859106,35833282,35844718
C03,Sample X23,18377049,25593067,27451302,28086946,28440184,28820169,29095012,29286664,29400660,29417999,29498054,29522033,29522402,29527198,29581982,29528120,29525907,29534208,29514839,29496947,29514839,29446405,29467065,29464298,29473705,29496762,29437920,29454706,29462453,29424639,29416892,29384243,29414125,29369855,29369302,29383136,29389223,29356205,29349565,29364690,29357127,29319313,29326692,29352147,29346244,29306955,29285189,29313226,29299207,29294596,29277072,29288693,29285742,29286111,29254937,29265451,29239258,29271354,29264160,29252170,29209376,29222657,29178572,29193697,29215094,29180232,29167504,29200707,29179125,29167320,29139651,29150903,29184659,29149612,29163630,29145922,29153670,29122865,29080071,29110137,29093905,29125816,29092983,29078411,29137806,29071032,29108477,29081731,29067527,29064576
C04,Sample X24,5819297,8387698,9325854,11075258,12628584,13975500,15162306,16360364,17297967,18102206,18894086,19657929,20311650,20834037,21243719,21674799,22024348,22365780,22719018,23018026,23353556,23581915,23772830,24067041,24316245,24530770,24753411,24947277,25165492,25365260,25491061,25684743,25845037,26017690,26155112,26310795,26474041,26611278,26729700,26854394,26979273,27082200,27208923,27298570,27386926,27517891,27638896,27709728,27791443,27893080,27930710,28050054,28124022,28197437,28238940,28326927,28404952,28482425,28518210,28613022,28611730,28704329,28760589,28797849,28862225,28900593,28926232,29035801,29051664,29050742,29096303,29168795,29185396,29209929,29251986,29285742,29368564,29361370,29382952,29420766,29445852,29482375,29485142,29501927,29546382,29573128,29565012,29603564,29603748,29656872
C05,Sample X25,11208068,17492755,23050490,24838262,25732517,26149209,26285893,26359307,26379044,26346949,26433460,26464080,26460575,26476992,26468507,26458915,26451721,26476439,26482157,26456702,26460391,26404315,26387898,26373326,26358385,26341230,26331823,26313931,26306737,26282942,26285340,26254166,26180014,26200489,26169869,26141093,26115822,26054766,25997400,26028758,25960877,25979692,25970469,25963828,25876026,25834154,25827329,25747458,25749119,25705771,25637337,25605241,25544739,25609115,25521866,25492168,25487925,25443471,25389793,25396434,25378173,25318592,25285390,25250896,25225072,25192607,25180802,25191316,25173055,25151842,25116610,25108310,25091893,25058137,25020876,25023643,25036740,24991363,24992839,24961665,24961481,24927725,24882164,24875339,24905774,24870543,24886037,24852835,24827195,24830884
C06,Sample X26,15861219,23010278,26480128,27299124,27387664,27627091,27843461,27955796,28017221,28032346,28062597,28088053,28088606,28143206,28126605,28106867,28048394,28071636,28100965,28103916,28068685,27956534,28059646,27956534,28008920,27940117,28000435,27929603,27991950,27981620,27917982,27891789,27869469,27874265,27855635,27803802,27847703,27765988,27758241,27792181,27779823,27712311,27759163,27608092,27741824,27632994,27678001,27607538,27589092,27608461,27607354,27647197,27581161,27609752,27577840,27542978,27564006,27530250,27504610,27463845,27398178,27458311,27445215,27424186,27420682,27423264,27417177,27443001,27425847,27411643,27395411,27416070,27396887,27394858,27365898,27383052,27338967,27355383,27204127,27340996,27082754,27309453,27325317,27300230,27341734,27314987,27290823,27262416,27131820,27276066
C07,Sample X27,9777039,16783881,21669080,24729247,25926199,26336435,26522184,26643742,26761980,26804775,26823590,26841298,26775077,26785776,26773417,26717341,26715866,26707750,26636917,26612569,26603715,26536572,26510010,26490457,26467953,26451537,26446372,26428110,26414645,26392694,26357278,26341230,26276301,26312270,26322600,26246419,26262651,26230740,26217090,26196615,26160092,26117667,26037796,26054582,26008098,26016030,25961430,25909229,25872521,25794864,25800951,25735284,25710198,25686587,25633463,25571301,25528322,25480547,25399201,25392007,25351979,25341465,25194636,25181355,25185967,25077505,25052419,25042458,24959821,24950044,24915735,24911124,24845087,24818894,24789196,24765032,24721685,24737548,24690880,24679444,24611932,24570982,24573564,24553827,24553090,24532799,24502732,24510664,24510480,24480782
C08,Sample X28,15195693,19550759,23219823,24649008,25084515,25317670,25511352,25685665,25805378,25881560,25933024,25941140,25968440,26024146,25944460,25984303,26027651,26076348,26035583,25843192,26026729,26052368,25996109,25969731,26049786,26032816,26053844,26033923,26018613,25967886,25988730,25995002,25950732,26026913,26006438,25992788,25943722,25971207,25928597,25973420,25945382,25912180,25957003,25914947,25909044,25808883,25869386,25881929,25869017,25843008,25762031,25855920,25850202,25840426,25833047,25842639,25795787,25836736,25778816,25806670,25589378,25767196,25788593,25741371,25745061,25779739,25752992,25765535,25748750,25775496,25740265,25761293,25749303,25746905,25538283,25711120,25703373,25676811,25723294,25726246,25671830,25682898,25684558,25690645,25713334,25717023,25700606,25667035,25612250,25597863
C09,Sample X29,5478418,9826290,13228996,16762115,20154307,23083508,24003772,24770013,25201461,24691433,25525186,25384260,25707247,25059244,25603027,25041720,25761662,25692490,25211975,25260857,25509323,25162356,25632172,25627929,25537176,25640841,25348659,25185782,25185229,25165861,25188180,25203859,25539389,25565951,25548612,25492168,25513565,25480731,25486265,25476304,25478887,25449005,25446422,25479625,25289448,25400308,25417093,25394774,25344048,25309185,25371901,25192423,25178957,25197403,24831437,25323204,25297564,25296826,25262701,25275245,25040613,25099456,25271002,25243887,24765770,25155716,24736441,25052788,24814652,25093553,25225441,25190394,24737179,25302360,24610272,25102223,25137639,25265099,24828855,24908726,25010547,25339990,24865747,24751014,24662842,25100562,25055739,24705268,25377250,24585923
C10,Sample X30,10927138,15741690,18123419,21405674,23671193,25150182,25847988,26218197,26339017,26525136,26588589,26602793,26611093,26653519,26644849,26640053,26599841,26673994,26643374,26609987,26636917,26584900,26607589,26555202,26601870,26550775,26510010,26536941,26551882,26521631,26462420,26486399,26473487,26484370,26320756,26441391,26369637,26386423,26394355,26369453,26378860,26278515,26310426,26274641,26348055,26281281,26147733,26212478,26189421,26232769,26237196,26118220,26171529,26208236,26213216,26183518,26200489,26120803,26163412,26108075,26097007,26082989,26027282,26065281,25913656,26047757,26073212,26065465,26022117,26002565,25973789,26030971,25975080,25967702,25964382,26021010,26010681,26011972,25965120,25989468,25973974,25964382,25956081,25983565,25981905,25985963,25902404,25934868,25902588,25902219
